fetched,Assignee Location,Year,CPC Category
True,US,2011,"Chemistry, Metallurgy"
True,US,2010,"Chemistry, Metallurgy"
True,US,1999,"Chemistry, Metallurgy"
True,QU,2009,"Chemistry, Metallurgy"
True,US,2002,"Chemistry, Metallurgy"
True,US,1987,"Chemistry, Metallurgy"
True,JP,1987,"Chemistry, Metallurgy"
True,US,1987,"Chemistry, Metallurgy"
True,US,1987,"Chemistry, Metallurgy"
True,US,1984,"Chemistry, Metallurgy"
True,US,1998,"Chemistry, Metallurgy"
True,US,1992,"Chemistry, Metallurgy"
True,US,1984,"Chemistry, Metallurgy"
True,FR,1984,"Chemistry, Metallurgy"
True,DE (US),1992,"Chemistry, Metallurgy"
True,JP,2012,"Chemistry, Metallurgy"
True,TW,2002,"Chemistry, Metallurgy"
True,US,2012,"Chemistry, Metallurgy"
True,US,2010,"Chemistry, Metallurgy"
True,US,1984,"Chemistry, Metallurgy"
True,US,1984,"Chemistry, Metallurgy"
True,US,2002,"Chemistry, Metallurgy"
True,US,1992,"Chemistry, Metallurgy"
True,US,1999,"Chemistry, Metallurgy"
True,GB,1984,"Chemistry, Metallurgy"
True,JP,1996,"Chemistry, Metallurgy"
True,US,2010,"Chemistry, Metallurgy"
True,US,2010,"Chemistry, Metallurgy"
True,US,2002,"Chemistry, Metallurgy"
True,US,2016,"Chemistry, Metallurgy"
True,JP,1992,"Chemistry, Metallurgy"
True,US,1992,"Chemistry, Metallurgy"
True,AT,2012,"Chemistry, Metallurgy"
True,US,1984,"Chemistry, Metallurgy"
True,US,1984,"Chemistry, Metallurgy"
True,CN,2016,"Chemistry, Metallurgy"
True,US,2012,"Chemistry, Metallurgy"
True,US,2016,"Chemistry, Metallurgy"
True,ZA,1990,"Chemistry, Metallurgy"
True,JP,2012,"Chemistry, Metallurgy"
True,US,2008,"Chemistry, Metallurgy"
True,IT,2009,"Chemistry, Metallurgy"
True,US,1992,"Chemistry, Metallurgy"
True,US,1992,"Chemistry, Metallurgy"
True,US,1984,"Chemistry, Metallurgy"
True,JP,1992,"Chemistry, Metallurgy"
True,US,1984,"Chemistry, Metallurgy"
True,US,2002,"Chemistry, Metallurgy"
True,JP,2009,"Chemistry, Metallurgy"
True,US,2002,"Chemistry, Metallurgy"
True,US,1984,"Chemistry, Metallurgy"
True,US,1984,"Chemistry, Metallurgy"
True,TW,2010,"Chemistry, Metallurgy"
True,YA,2016,"Chemistry, Metallurgy"
True,US,2016,"Chemistry, Metallurgy"
True,DE (US),2002,"Chemistry, Metallurgy"
True,US,1992,"Chemistry, Metallurgy"
True,US,2010,"Chemistry, Metallurgy"
True,US,2012,"Chemistry, Metallurgy"
True,JP,1984,"Chemistry, Metallurgy"
True,US,1984,"Chemistry, Metallurgy"
True,FR,1984,"Chemistry, Metallurgy"
True,US,1984,"Chemistry, Metallurgy"
True,US,1984,"Chemistry, Metallurgy"
True,US,1984,"Chemistry, Metallurgy"
True,US,1984,"Chemistry, Metallurgy"
True,FR,2016,"Chemistry, Metallurgy"
True,US,1996,"Chemistry, Metallurgy"
True,FR,1984,"Chemistry, Metallurgy"
True,US,1984,"Chemistry, Metallurgy"
True,US,1984,"Chemistry, Metallurgy"
True,JP,1996,"Chemistry, Metallurgy"
True,JP,2012,"Chemistry, Metallurgy"
True,US,1996,"Chemistry, Metallurgy"
True,US,2012,"Chemistry, Metallurgy"
True,US,1984,"Chemistry, Metallurgy"
True,DE (US),1984,"Chemistry, Metallurgy"
True,US,1992,"Chemistry, Metallurgy"
