,Assignee Location,Assignee Name,Fields,Patent Number,Title (Patent Number),fetched,Year,CPC Category
1,"East Providence, RI",FRAM CORPORATION,B,"4,180,885",#4180885,True,1980,"Performing Operations, Transporting"
2,"Leverkusen, DE","AGFA-GEVAERT, A.G.",G,"4,180,905",#4180905,True,1980,Physics
3,"Brookline, MA",WASSERMAN; GEORGE,A,"4,180,960",#4180960,True,1980,Human Necessities
4,"Hutchins, TX","NORTHRUP, INCORPORATED",B,"4,180,985",#4180985,True,1980,"Performing Operations, Transporting"
6,"Washington, DC",THE UNITED STATES OF AMERICA AS REPRESENTED BY THE SECRETARY OF THE NAVY,B,"4,181,062",#4181062,True,1980,"Performing Operations, Transporting"
7,"Iwata, JP",YAMAHA HATSUDOKI KABUSHIKI KAISHA,F,"4,181,101",#4181101,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
8,"Ageo, JP","NISSAN DIESEL KOGYO COMPANY, LTD.",F,"4,181,109",#4181109,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
9,"Minneapolis, MN","MCQUAY-PERFLEX, INC.",F,"4,181,153",#4181153,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
10,"Birmingham, MI",FLEMING; RAY FROST,D,"4,181,158",#4181158,True,1980,"Textiles, Paper"
11,"Paris, FR","L'AIR LIQUIDE, SOCIETE ANONYME POUR L'ETUDE ET L'EXPLOITATION DES",F,"4,181,174",#4181174,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
12,"Houston, TX",EXXON PRODUCTION RESEARCH COMPANY,E,"4,181,184",#4181184,True,1980,Fixed Construction
13,"Stamford, CT",XEROX CORPORATION,B,"4,181,248",#4181248,True,1980,"Performing Operations, Transporting"
16,New YorkN/A,"WESTERN ELECTRIC COMPANY, INC.",H,"4,181,387",#4181387,True,1980,Electricity
17,"Los Angeles, CA",ATLANTIC RICHFIELD COMPANY,E,"4,181,448",#4181448,True,1980,Fixed Construction
18,"London, GB2",THE POST OFFICE,C,"4,181,515",#4181515,True,1980,"Chemistry, Metallurgy"
19,"Kidlington, GB2",RIDDELL; MARTIN CLARK,D,"4,181,567",#4181567,True,1980,"Textiles, Paper"
20,"Tokyo, JP","MITSUI POLYCHEMICALS CO., LTD.",C,"4,181,761",#4181761,True,1980,"Chemistry, Metallurgy"
