Year,CANON KABUSHIKI KAISHA,EASTMAN KODAK COMPANY,GENERAL ELECTRIC COMPANY,"HITACHI, LTD.",INTEL CORPORATION,INTERNATIONAL BUSINESS MACHINES CORPORATION,KABUSHIKI KAISHA TOSHIBA,"MICRON TECHNOLOGY, INC.",MITSUBISHI DENKI KABUSHIKI KAISHA,NEC CORPORATION,RCA CORPORATION,"SAMSUNG ELECTRONICS CO., LTD.",SONY CORPORATION,U.S. PHILIPS CORPORATION
1980,0.0,0.0,76.82458386683739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981,0.0,0.0,76.82458386683739,68.75,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
1982,0.0,56.32040050062578,214.4966739794782,68.75,0.0,50.0,0.0,0.0,0.0,0.0,43.80475594493115,0.0,0.0,93.80475594493114
1983,0.0,56.32040050062578,276.14895511388016,68.75,0.0,50.0,0.0,0.0,0.0,0.0,111.62226519277331,0.0,0.0,143.12658085245272
1984,0.0,56.32040050062578,336.6084472541462,68.75,0.0,98.36759371221282,0.0,0.0,0.0,0.0,111.62226519277331,0.0,0.0,197.54012377869213
1985,0.0,56.32040050062578,391.15390179960076,123.29545454545456,0.0,98.36759371221282,0.0,0.0,0.0,0.0,160.10711367762178,0.0,0.0,197.54012377869213
1986,0.0,56.32040050062578,391.15390179960076,201.13976592270006,0.0,98.36759371221282,0.0,0.0,53.892215568862284,0.0,225.97537715067568,0.0,0.0,251.43233934755443
1987,82.17446270543614,56.32040050062578,467.00725198923413,201.13976592270006,0.0,98.36759371221282,56.890012642225024,0.0,53.892215568862284,0.0,289.1865023087035,0.0,0.0,251.43233934755443
1988,82.17446270543614,56.32040050062578,467.00725198923413,311.9772043463454,0.0,98.36759371221282,112.30873185404768,0.0,109.31093478068493,0.0,289.1865023087035,0.0,0.0,251.43233934755443
1989,130.89553456901714,56.32040050062578,540.0888597846057,415.509482056455,0.0,98.36759371221282,185.3903396494192,0.0,158.03200664426595,0.0,289.1865023087035,0.0,0.0,251.43233934755443
1990,186.11025849539752,129.94003240246627,650.5183076373664,464.589236657682,0.0,98.36759371221282,185.3903396494192,0.0,219.3816998957997,0.0,289.1865023087035,0.0,0.0,251.43233934755443
1991,186.11025849539752,129.94003240246627,650.5183076373664,533.6847140446167,0.0,98.36759371221282,304.73707331776086,0.0,288.4771772827344,0.0,289.1865023087035,0.0,0.0,251.43233934755443
1992,257.36916585881795,195.26069748560167,650.5183076373664,533.6847140446167,0.0,157.75001651506318,417.56367664317656,0.0,288.4771772827344,0.0,289.1865023087035,0.0,0.0,251.43233934755443
1993,310.7499487769674,284.22866901585076,721.6926848615657,533.6847140446167,0.0,234.85559184127908,470.944459561326,0.0,288.4771772827344,0.0,289.1865023087035,0.0,0.0,251.43233934755443
1994,310.7499487769674,338.44553648573026,721.6926848615657,533.6847140446167,0.0,234.85559184127908,549.2577125733742,0.0,342.6940447526139,66.26506024096386,289.1865023087035,0.0,0.0,251.43233934755443
1995,375.15275908141706,338.44553648573026,721.6926848615657,592.2327234122982,0.0,305.11320308249685,549.2577125733742,0.0,342.6940447526139,124.81306960864536,289.1865023087035,0.0,0.0,251.43233934755443
1996,468.3928523215103,338.44553648573026,721.6926848615657,592.2327234122982,0.0,386.69828466757843,549.2577125733742,0.0,342.6940447526139,194.7431395387153,289.1865023087035,52.447552447552454,0.0,251.43233934755443
1997,568.6287013781141,338.44553648573026,768.8624961823205,592.2327234122982,0.0,475.14168089399357,549.2577125733742,0.0,395.76008248846296,194.7431395387153,289.1865023087035,52.447552447552454,0.0,251.43233934755443
1998,658.8814089593416,338.44553648573026,768.8624961823205,592.2327234122982,0.0,637.596554540203,549.2577125733742,0.0,395.76008248846296,266.94530560369725,289.1865023087035,130.66656568461622,0.0,251.43233934755443
1999,728.325853403786,338.44553648573026,768.8624961823205,592.2327234122982,0.0,741.7632212068696,549.2577125733742,0.0,395.76008248846296,359.5378981962898,289.1865023087035,130.66656568461622,69.44444444444444,251.43233934755443
2000,728.325853403786,338.44553648573026,768.8624961823205,592.2327234122982,0.0,852.4858319294804,607.5327708484325,69.93006993006993,395.76008248846296,458.6054972638889,289.1865023087035,183.11411813216867,69.44444444444444,251.43233934755443
2001,807.6010515917815,338.44553648573026,768.8624961823205,592.2327234122982,0.0,960.0736008989028,658.4953982550011,69.93006993006993,395.76008248846296,554.8682379207405,289.1865023087035,239.73925969502258,69.44444444444444,251.43233934755443
2002,891.4936690414459,338.44553648573026,824.79090781543,592.2327234122982,0.0,1038.3733771852562,658.4953982550011,165.00836970635626,395.76008248846296,649.9465376970269,289.1865023087035,239.73925969502258,69.44444444444444,251.43233934755443
2003,958.6077630011774,338.44553648573026,824.79090781543,592.2327234122982,0.0,1155.8230416147865,658.4953982550011,232.1224636660878,462.8741764481945,728.2463139833803,289.1865023087035,239.73925969502258,69.44444444444444,251.43233934755443
2004,1019.5158471650756,338.44553648573026,824.79090781543,592.2327234122982,60.90808416389813,1266.565012821874,658.4953982550011,309.64184351104905,462.8741764481945,728.2463139833803,289.1865023087035,239.73925969502258,69.44444444444444,251.43233934755443
2005,1101.8429602276442,338.44553648573026,824.79090781543,647.1174654540107,60.90808416389813,1354.3806000886138,729.8455629092272,309.64184351104905,462.8741764481945,728.2463139833803,289.1865023087035,239.73925969502258,69.44444444444444,251.43233934755443
2006,1101.8429602276442,338.44553648573026,824.79090781543,647.1174654540107,132.1019505384874,1474.8625277994572,790.0865267646489,309.64184351104905,462.8741764481945,728.2463139833803,289.1865023087035,239.73925969502258,151.59121333820127,251.43233934755443
2007,1179.1910265259867,338.44553648573026,824.79090781543,647.1174654540107,203.92515495837688,1557.7354559762528,872.9594549414444,309.64184351104905,462.8741764481945,728.2463139833803,289.1865023087035,311.5624641149121,151.59121333820127,251.43233934755443
2008,1293.1975411839671,338.44553648573026,824.79090781543,647.1174654540107,203.92515495837688,1774.8907219914536,872.9594549414444,374.7884233156093,462.8741764481945,728.2463139833803,289.1865023087035,387.56680722023236,151.59121333820127,251.43233934755443
2009,1402.1300030576056,338.44553648573026,824.79090781543,647.1174654540107,203.92515495837688,1938.289414801911,872.9594549414444,374.7884233156093,462.8741764481945,728.2463139833803,289.1865023087035,485.60602290650684,151.59121333820127,251.43233934755443
2010,1471.0589532166723,338.44553648573026,824.79090781543,647.1174654540107,203.92515495837688,2060.240634314106,872.9594549414444,374.7884233156093,462.8741764481945,728.2463139833803,289.1865023087035,596.9527885480763,151.59121333820127,251.43233934755443
