,Applicant Country,Applicant Number,Assignee Name,Family ID,Fields,File Date,Patent Date,Patent Number,Title (Patent Number),fetched
0,,"06/370,187","Plastic Oddities, Inc.",23458597,E03D 11/16 (20130101); E03D 11/14 (20130101),"April 21, 1982","January 3, 1984","4,423,526",#4423526,True
1,,"06/255,750",,22969696,E05D 13/1253 (20130101); Y10T 16/64 (20150115); Y10S 16/36 (20130101); E05Y 2900/148 (20130101),"April 20, 1981","January 3, 1984","4,423,536",#4423536,True
2,,"06/306,007",,23183319,E04F 21/003 (20130101); E04F 21/26 (20130101); E04F 21/0076 (20130101); Y10S 33/10 (20130101),"September 28, 1981","January 3, 1984","4,423,555",#4423555,True
3,,"06/272,501",,23040068,G01B 5/0002 (20130101),"June 11, 1981","January 3, 1984","4,423,556",#4423556,True
4,,"06/406,205","Winthrop-Atkins Co., Inc.",23606971,B42D 5/046 (20130101); B42D 5/045 (20130101),"August 9, 1982","January 3, 1984","4,423,562",#4423562,True
5,,"06/308,395",,23193822,B24B 55/06 (20130101),"October 5, 1981","January 3, 1984","4,423,568",#4423568,True
6,,"06/332,050",Southwire Company,23296509,B21B 13/005 (20130101); F16C 35/042 (20130101); B21B 27/035 (20130101); F16C 2322/12 (20130101),"December 18, 1981","January 3, 1984","4,423,612",#4423612,True
7,,"06/308,903",Japan Atomic Energy Research Institute,15265317,G01F 23/248 (20130101),"October 5, 1981","January 3, 1984","4,423,629",#4423629,True
8,,"06/411,040",Aisin Seiki Kabushiki Kaisha,13297804,F16J 15/3268 (20130101); B60T 13/565 (20130101),"August 24, 1982","January 3, 1984","4,423,666",#4423666,True
9,,"06/146,930","Nissan Motor Co., Ltd.",13172544,F02F 7/0053 (20130101); F16C 9/02 (20130101); F16C 27/063 (20130101); F16C 33/08 (20130101); F16C 17/022 (20130101); F16C 2226/50 (20130101),"May 5, 1980","January 3, 1984","4,423,667",#4423667,True
10,,"06/325,093",Cannon Mills Company,26948778,B41F 17/003 (20130101); D06P 5/001 (20130101); B41F 23/00 (20130101); Y10S 101/46 (20130101),"November 25, 1981","January 3, 1984","4,423,676",#4423676,True
11,,"06/015,911",E. I. Du Pont de Nemours & Co.,21774289,B04B 5/0407 (20130101); G01N 1/2813 (20130101); G01N 2001/2846 (20130101); B04B 2005/045 (20130101),"February 28, 1979","January 3, 1984","4,423,699",#4423699,True
12,,"06/321,820",Ennco Inc.,23252168,F02M 31/18 (20130101); F02B 1/04 (20130101); Y02T 10/126 (20130101),"November 16, 1981","January 3, 1984","4,423,716",#4423716,True
13,,"06/313,195",Agency of Industrial Science & Technology,15568991,A61B 18/20 (20130101); H01S 3/13 (20130101); G01M 11/31 (20130101); A61B 2018/00636 (20130101),"October 20, 1981","January 3, 1984","4,423,726",#4423726,True
14,,"06/231,935","Matsushita Electric Industrial Company, Limited",11825582,A61B 8/14 (20130101); G01S 15/8918 (20130101); G01S 7/52074 (20130101),"February 4, 1981","January 3, 1984","4,423,737",#4423737,True
15,,"06/352,246","Murray Machinery, Inc.",23384363,B27L 11/005 (20130101),"February 25, 1982","January 3, 1984","4,423,758",#4423758,True
16,,"06/230,956",Foseco International Limited,22867223,B22C 9/088 (20130101),"January 22, 1981","January 3, 1984","4,423,762",#4423762,True
17,,"06/249,749",Tokico Ltd.,12784404,F16F 9/062 (20130101); F16F 9/3484 (20130101); F16F 9/341 (20130101),"April 1, 1981","January 3, 1984","4,423,801",#4423801,True
18,,"06/279,651",Laycock Engineering Limited,10514548,F16D 13/71 (20130101); F16D 2013/706 (20130101),"July 2, 1981","January 3, 1984","4,423,804",#4423804,True
19,,"06/351,963",General Motors Corporation,26993463,F02M 51/005 (20130101); F02M 51/0614 (20130101); F02M 51/0671 (20130101); F02M 51/08 (20190201); F02M 61/168 (20130101); F02M 61/1853 (20130101); F02M 61/163 (20130101); F02B 1/04 (20130101); Y10S 239/90 (20130101),"February 24, 1982","January 3, 1984","4,423,841",#4423841,True
20,,"06/192,958","Ara, Inc.",22711722,B64D 25/04 (20130101),"October 1, 1980","January 3, 1984","4,423,848",#4423848,True
21,,"06/350,977","Atari, Inc.",26711284,A63F 13/10 (20130101); A63F 13/803 (20140902); A63F 13/577 (20140902); A63F 2300/63 (20130101); A63F 2300/8017 (20130101),"February 22, 1982","January 3, 1984","4,423,870",#4423870,True
22,,"06/218,970",Daimler-Benz Aktiengesellschaft,6089481,B62D 3/02 (20130101),"December 22, 1980","January 3, 1984","4,423,883",#4423883,True
23,,"06/333,467",Britax,10518917,B60R 22/04 (20130101),"December 22, 1981","January 3, 1984","4,423,887",#4423887,True
24,,"06/282,656",Communications Technology Corporation,23082527,H01R 4/2429 (20130101),"July 13, 1981","January 3, 1984","4,423,916",#4423916,True
25,,"06/246,238","Owens-Illinois, Inc.",26937821,A61F 2/2421 (20130101); A61F 13/00 (20130101); C08G 75/22 (20130101); B01D 71/68 (20130101); B01D 69/02 (20130101); A61L 33/068 (20130101); A61L 15/26 (20130101); A61L 27/18 (20130101); A61L 15/26 (20130101); C08L 81/06 (20130101); A61L 27/18 (20130101); C08L 81/06 (20130101); A61L 33/068 (20130101); C08L 81/06 (20130101); A61M 1/12 (20130101); A61F 2013/00217 (20130101); A61F 2013/15048 (20130101),"March 23, 1981","*     January 3, 1984","4,423,930",#4423930,True
26,,"06/364,832",Eastman Kodak Company,23436289,G03B 43/00 (20130101),"April 2, 1982","January 3, 1984","4,423,934",#4423934,True
27,,"06/402,149",Polaroid Corporation,23590733,G03B 7/16 (20130101); G02B 7/40 (20130101),"July 26, 1982","January 3, 1984","4,423,936",#4423936,True
28,,"06/299,530",Minolta Camera Kabushiki Kaisha,15125152,G03B 17/20 (20130101); G03B 17/36 (20130101); G03B 17/24 (20130101); G03B 2217/243 (20130101),"September 4, 1981","January 3, 1984","4,423,938",#4423938,True
29,,"06/362,515",Western Litho Plate & Supply Co.,23426414,G03F 7/2014 (20130101); G03B 27/04 (20130101),"March 26, 1982","January 3, 1984","4,423,955",#4423955,True
30,,"06/296,855","Societe Nationale d'Etude et de Construction de Moteurs d'Aviation,",9245445,G01K 13/02 (20130101),"August 27, 1981","January 3, 1984","4,423,967",#4423967,True
31,,"06/337,240","Precision Handling Devices, Inc.",23319707,B41J 2/275 (20130101),"January 6, 1982","January 3, 1984","4,423,969",#4423969,True
32,,"06/369,213","Alps Electric Co., Ltd.",13073526,B41J 1/50 (20130101); B41J 9/04 (20130101); B41J 7/64 (20130101); Y10S 400/903 (20130101),"April 16, 1982","January 3, 1984","4,423,972",#4423972,True
33,,"06/387,092",Heath Company,23528424,B41J 11/68 (20130101); Y10T 225/343 (20150401),"June 10, 1982","January 3, 1984","4,423,975",#4423975,True
34,,"06/319,861",United Technologies Corporation,23243921,F01D 5/06 (20130101); F01D 11/00 (20130101); F01D 5/08 (20130101); Y02T 50/676 (20130101),"November 9, 1981","January 3, 1984","4,424,004",#4424004,True
35,,"06/368,627",,23452048,B21J 19/02 (20130101),"April 15, 1982","January 3, 1984","4,424,025",#4424025,True
36,,"06/291,623",,23121081,B63C 9/08 (20130101); B63B 35/73 (20130101),"August 10, 1981","January 3, 1984","4,424,043",#4424043,True
37,,"06/408,299",Borg-Warner Corporation,26862998,B21D 53/00 (20130101); F16G 5/16 (20130101); F16G 1/22 (20130101),"August 16, 1982","January 3, 1984","4,424,049",#4424049,True
38,,"06/364,496",,23434778,A61M 5/31596 (20130101); A61M 5/282 (20130101); A61M 5/286 (20130101); A61M 2005/3118 (20130101); A61M 5/3145 (20130101); A61M 5/288 (20130101),"April 1, 1982","January 3, 1984","4,424,057",#4424057,True
39,,"06/443,390",Flex-Kleen Corporation,23760606,B01D 46/0005 (20130101); B01D 46/0068 (20130101); B01D 46/2411 (20130101); B01D 46/521 (20130101); B01D 46/4281 (20130101); B01D 2271/022 (20130101); B01D 2265/025 (20130101),"November 22, 1982","January 3, 1984","4,424,070",#4424070,True
40,,"06/407,227",The Perkin-Elmer Corp.,26899456,C23C 14/3464 (20130101); H01L 21/28097 (20130101); H01J 37/34 (20130101),"August 11, 1982","January 3, 1984","4,424,101",#4424101,True
41,,"06/429,251",Solv-ex Corporation,27009633,C10G 1/047 (20130101),"September 30, 1982","January 3, 1984","4,424,112",#4424112,True
42,,"06/392,551",,23551032,A01C 3/00 (20130101); A01K 1/0139 (20130101); B01D 33/0361 (20130101); B01D 33/0361 (20130101); B01D 33/0369 (20130101); B01D 33/461 (20130101); Y02A 40/294 (20180101),"June 28, 1982","January 3, 1984","4,424,129",#4424129,True
43,,"05/970,543",Artisan Industries Inc.,25517111,B01D 11/043 (20130101); B01D 11/0438 (20130101); B01D 11/0484 (20130101),"December 18, 1978","January 3, 1984","4,424,131",#4424131,True
44,,"06/344,081",Asahi Kasei Kogyo Kabushiki Kaisha,26352465,A61M 1/3693 (20130101); B01D 21/0012 (20130101); B01D 21/0051 (20130101); A61M 1/3695 (20140204); B01D 21/2488 (20130101); B01D 21/02 (20130101); B01D 2221/10 (20130101); G01N 2030/002 (20130101),"January 29, 1982","January 3, 1984","4,424,132",#4424132,True
45,,"06/504,649",The Procter & Gamble Company,24007178,D06M 16/00 (20130101),"June 15, 1983","January 3, 1984","4,424,134",#4424134,True
46,,"06/242,528",Imperial Chemical Industries PLC,26274946,C08F 10/00 (20130101); C08F 10/00 (20130101); C08F 2/34 (20130101); C08F 10/00 (20130101); C08F 4/651 (20130101); C08F 110/06 (20130101); Y10S 526/903 (20130101); Y10S 526/904 (20130101); C08F 110/06 (20130101); C08F 2500/24 (20130101); C08F 2500/12 (20130101),"March 11, 1981","January 3, 1984","4,424,138",#4424138,True
47,,"06/363,681",Phillips Petroleum Company,23431246,C08F 10/00 (20130101); C08F 10/00 (20130101); C08F 4/63916 (20130101); C08F 10/00 (20130101); C08F 4/02 (20130101); C08F 10/00 (20130101); C08F 4/69 (20130101); C08F 4/63904 (20130101); C08F 4/63912 (20130101); C08F 4/63916 (20130101),"March 30, 1982","January 3, 1984","4,424,139",#4424139,True
48,,"06/235,052",United States Gypsum Company,22883897,C04B 24/32 (20130101); C04B 28/14 (20130101); C08K 3/30 (20130101); G21F 9/167 (20130101); G21F 9/165 (20130101); C04B 28/14 (20130101); C04B 18/04 (20130101); C04B 24/305 (20130101); C04B 24/32 (20130101); C04B 28/14 (20130101); C04B 18/04 (20130101); C04B 22/124 (20130101); C04B 24/305 (20130101); C04B 24/32 (20130101); C08K 3/30 (20130101); C08L 61/28 (20130101); C04B 2111/00784 (20130101); Y02W 30/91 (20150501),"February 17, 1981","January 3, 1984","4,424,148",#4424148,True
49,,"06/389,130",Bayer Aktiengesellschaft,6136511,C09B 1/503 (20130101),"June 16, 1982","January 3, 1984","4,424,160",#4424160,True
