,Applicant Country,Applicant Number,Assignee Location,Assignee Name,Family ID,Fields,File Date,Patent Date,Patent Number,Title (Patent Number),fetched
0,,"09/240,353","Lewisville, NC",Everest Columbarium,22906194,E04H 13/006 (20130101); A61G 17/08 (20130101),"January 29, 1999","January 2, 2001","6,167,600",#6167600,True
1,,"09/141,308","Ottawa, CA","Lee Valley Tools, Ltd.",22495130,B43L 9/04 (20130101),"August 27, 1998","January 2, 2001","6,167,628",#6167628,True
2,,"09/237,065","Wilmington, DE","DCV, Inc.",26685448,A01N 43/16 (20130101),"January 26, 1999","January 2, 2001","6,167,652",#6167652,True
3,,"09/020,627","Oak Ridge, TN","Laser Products, Inc.",24954081,B21D 7/00 (20130101); B21D 7/022 (20130101); B21D 7/12 (20130101); B21D 11/10 (20130101),"February 9, 1998","January 2, 2001","6,167,740",#6167740,True
4,,"09/373,454","South Bend, IN","New Carbon Company, Inc.",26805464,A47J 37/0611 (20130101),"August 12, 1999","January 2, 2001","6,167,796",#6167796,True
5,,"08/948,242",,,25487530,B63B 1/248 (20130101); B63B 1/288 (20130101); B63B 1/38 (20130101); Y02T 70/122 (20130101),"October 9, 1997","January 2, 2001","6,167,829",#6167829,True
6,,"07/928,642","Santa Clara, CA","Applied Materials, Inc.",25481509,C23C 16/402 (20130101); C23C 16/455 (20130101); C23C 16/45521 (20130101); C23C 16/45565 (20130101); C23C 16/5096 (20130101); H01L 21/02164 (20130101); H01J 37/32082 (20130101); H01J 37/3244 (20130101); H01L 21/31604 (20130101); H01L 21/02216 (20130101); H01L 21/02274 (20130101); C23C 16/54 (20130101),"August 13, 1992","January 2, 2001","6,167,834",#6167834,True
7,,"09/210,816","Yokohama, JP","Nissan Motor Co., Ltd.",18399226,F02B 17/005 (20130101); F02B 23/104 (20130101); F02B 2023/108 (20130101); F02B 2075/125 (20130101); F02F 3/26 (20130101); Y02T 10/125 (20130101); Y02T 10/123 (20130101),"December 15, 1998","January 2, 2001","6,167,864",#6167864,True
8,,"09/480,123","Tualatin, OR","Key Knife, Inc.",23278165,B27L 11/005 (20130101); B27L 11/007 (20130101); Y10T 409/302072 (20150115); Y10T 409/107155 (20150115),"January 10, 2000","January 2, 2001","6,167,929",#6167929,True
9,,"09/077,506","Australian Capital Territory, AUAustralian Magnesium Corp. Pty. Ltd.",Commonwealth Scientific and Industrial Research Organisation,3791481,B22D 5/04 (20130101); B22D 27/003 (20130101); B22D 21/007 (20130101); B22D 7/06 (20130101),"September 8, 1998","January 2, 2001","6,167,944",#6167944,True
10,,"09/109,456","Chicago, IL",Navistar International Transportation Corp,22327756,B60K 15/00 (20130101); F01M 5/002 (20130101); F02M 31/10 (20130101); F02M 31/16 (20130101); B60K 15/063 (20130101); Y02T 10/126 (20130101); Y10T 137/4824 (20150401),"July 2, 1998","January 2, 2001","6,167,978",#6167978,True
11,,"09/305,530","Schweinfurt, DE",Mannesmann Sachs AG,7868187,F16D 25/083 (20130101); F16D 25/14 (20130101); F16D 48/02 (20130101); F16D 2500/10412 (20130101); F16D 2500/1045 (20130101); F16D 2500/1112 (20130101); F16D 2500/3026 (20130101); F16D 2500/70488 (20130101); F16D 2048/0221 (20130101),"May 5, 1999","January 2, 2001","6,167,995",#6167995,True
12,,"09/298,208",,,23149498,A47G 23/0241 (20130101); F25D 31/007 (20130101); F25D 3/08 (20130101); F25D 2303/081 (20130101); F25D 2331/803 (20130101); F25D 2331/809 (20130101),"April 23, 1999","January 2, 2001","6,168,043",#6168043,True
13,,"09/026,805","Kawasaki, JP",Fujitsu Limited,16531580,G06K 7/0008 (20130101); G06Q 20/105 (20130101); G06Q 20/341 (20130101); G06Q 20/3576 (20130101); G07F 7/0886 (20130101); G07F 7/1008 (20130101),"February 20, 1998","January 2, 2001","6,168,078",#6168078,True
14,,"09/395,888","Palo Alto, CA",Hewlett-Packard Company,25339833,B41J 2/16547 (20130101); B41J 2/1721 (20130101); B41J 2/16541 (20130101); B41J 2002/1742 (20130101),"September 14, 1999","January 2, 2001","6,168,258",#6168258,True
15,,"08/959,463",,,25502066,F21V 19/006 (20130101); F21V 23/0442 (20130101); F21Y 2113/00 (20130101); F21S 8/035 (20130101); Y10S 362/806 (20130101); F21Y 2105/00 (20130101); F21Y 2115/20 (20160801),"October 28, 1997","January 2, 2001","6,168,282",#6168282,True
16,,"09/262,443",,,7894047,H01J 61/56 (20130101),"March 4, 1999","January 2, 2001","6,168,289",#6168289,True
17,,"09/251,306",,,22244526,F21S 8/00 (20130101); F21V 7/05 (20130101); F21V 7/10 (20130101); F21V 17/18 (20130101); F21V 31/005 (20130101),"February 17, 1999","January 2, 2001","6,168,295",#6168295,True
18,,"09/135,942","New York, NY","Arich, Inc.",22470488,A45D 19/02 (20130101); A46B 11/0017 (20130101); B65D 81/3283 (20130101); B65D 83/285 (20130101); A45D 2019/0066 (20130101); A45D 2200/058 (20130101),"August 18, 1998","January 2, 2001","6,168,335",#6168335,True
19,,"09/191,663",,,22706407,D01D 5/34 (20130101); B29C 48/345 (20190201); B29C 48/304 (20190201); B29C 48/30 (20190201); B29L 2009/00 (20130101); B29L 2031/731 (20130101); B29C 48/05 (20190201); B29C 48/10 (20190201),"November 13, 1998","January 2, 2001","6,168,409",#6168409,True
20,,"09/321,470",,,25524624,B05C 17/00593 (20130101); A61C 5/50 (20170201); A61C 5/62 (20170201); B05C 17/00513 (20130101); B05C 17/00516 (20130101); A61C 5/55 (20170201),"May 27, 1999","January 2, 2001","6,168,432",#6168432,True
21,,"09/001,114","Naples, FL",Love it Golf Company,21694443,A63B 53/04 (20130101); A63B 53/0466 (20130101); A63B 60/00 (20151001); A63B 53/047 (20130101); A63B 2053/0408 (20130101); A63B 2053/0433 (20130101),"December 30, 1997","January 2, 2001","6,168,536",#6168536,True
22,,"09/275,595","Wingdale, NY","Accusphyg, LLC",26810032,A61B 5/02208 (20130101); A61B 5/0225 (20130101); A61B 5/742 (20130101); A61B 5/023 (20130101),"March 24, 1999","January 2, 2001","6,168,567",#6168567,True
23,,"09/378,085",AR,"Grace Manufacturing, Inc.",23491651,A61B 17/1666 (20130101),"August 20, 1999","January 2, 2001","6,168,600",#6168600,True
24,,"09/180,886",,,11068889,A61M 1/1074 (20140204); A61B 2017/00247 (20130101); A61B 2018/00392 (20130101); A61M 1/1072 (20130101); A61M 1/1081 (20130101); Y10S 623/904 (20130101); A61M 1/106 (20130101); A61M 1/107 (20130101); A61M 1/12 (20130101); A61M 1/1008 (20140204); A61M 1/125 (20140204),"November 16, 1998","January 2, 2001","6,168,624",#6168624,True
25,,"09/275,953",,,23054508,B25J 9/1075 (20130101); B25J 9/142 (20130101); F15B 15/103 (20130101); F15B 21/065 (20130101); A61F 2/54 (20130101); A61F 2002/5066 (20130101); A61F 2002/6863 (20130101); A61F 2002/704 (20130101); A61F 2002/745 (20130101); A61F 2002/7655 (20130101),"March 25, 1999","January 2, 2001","6,168,634",#6168634,True
26,,"09/334,368","Stockholm, SE",Akteibolaget Electrolux,26663340,A47L 5/362 (20130101); A47L 9/102 (20130101); A47L 9/122 (20130101); A47L 9/1418 (20130101); A47L 9/1608 (20130101); A47L 9/165 (20130101); A47L 9/1666 (20130101); A47L 9/1683 (20130101); A47L 9/1691 (20130101); B04C 5/14 (20130101); B04C 5/185 (20130101); Y10S 55/03 (20130101),"June 16, 1999","January 2, 2001","6,168,641",#6168641,True
27,,"09/382,937","Osaka, JP",Nitto Denko Corporation,18450808,B01D 19/0031 (20130101); B01D 61/00 (20130101); B01D 63/10 (20130101),"August 25, 1999","January 2, 2001","6,168,648",#6168648,True
28,,"09/152,695","Trevose, PA","Betzdearborn, Inc.",22544014,D21H 23/765 (20130101); D21H 11/08 (20130101); D21H 17/07 (20130101); D21H 17/29 (20130101); D21H 17/375 (20130101); D21H 17/42 (20130101); D21H 17/55 (20130101); D21H 17/56 (20130101); D21H 17/66 (20130101); D21H 21/10 (20130101); D21H 17/44 (20130101),"August 19, 1998","January 2, 2001","6,168,686",#6168686,True
