,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AT,4,10,13,15,17,17,19,22,24,24,28,29,32,34,37,38,38,40,41,41,43,45,48,51,55,57,58,58,58,60,61,63,66,70,75,79,82,86,91
AU,1,2,2,5,10,13,16,19,20,22,28,34,36,36,38,40,47,50,52,54,57,61,64,64,69,71,79,81,84,86,87,90,94,96,99,101,102,103,108
BE,2,3,6,6,7,10,11,12,13,16,16,19,20,25,25,25,27,30,34,39,40,44,47,47,47,50,52,55,59,62,64,66,68,74,78,79,84,90,96
CH,18,39,51,68,82,93,108,113,127,138,149,157,164,170,178,188,199,204,212,219,231,236,246,256,269,281,290,295,300,311,322,333,343,354,366,374,392,402,414
CN,0,0,0,0,0,0,0,1,1,1,3,4,5,5,5,5,5,6,6,9,9,9,11,11,16,17,20,21,22,26,30,42,54,63,72,84,102,122,148
DE (US),10,17,18,20,26,36,43,51,59,64,68,78,90,103,117,125,136,152,167,178,188,197,208,220,231,241,257,271,284,295,305,312,318,323,329,336,346,350,357
DK,1,6,9,9,9,10,12,13,15,16,18,20,20,21,24,25,28,30,32,34,39,40,42,47,49,52,53,54,56,59,61,66,69,70,72,74,78,80,82
ES,0,1,1,1,1,1,4,4,4,6,7,8,9,9,9,10,11,11,11,11,13,14,18,18,20,21,22,23,25,25,26,27,30,32,33,34,34,36,37
FI,1,1,1,1,2,4,5,7,9,11,14,15,18,22,26,29,35,37,39,45,49,54,61,63,68,75,84,92,96,101,106,113,119,121,127,130,132,143,148
FR,25,56,84,111,133,157,190,211,241,269,291,319,341,370,390,421,435,453,475,498,517,542,560,577,594,618,635,646,665,686,700,718,731,752,768,790,809,830,846
GB,18,46,73,92,113,132,158,181,212,228,244,267,286,303,316,333,345,361,375,390,411,429,443,456,466,477,500,512,519,528,537,544,553,563,576,590,599,608,621
IT,6,16,22,33,39,44,56,64,71,81,91,104,113,127,138,142,156,166,172,173,186,197,206,215,227,233,238,241,246,253,255,259,261,267,271,277,283,285,294
JP,99,222,358,498,648,817,999,1176,1394,1603,1815,2030,2269,2479,2693,2904,3118,3303,3491,3711,3890,4095,4301,4529,4739,4956,5150,5370,5570,5754,5940,6102,6292,6460,6624,6787,6946,7078,7215
KR,0,0,0,0,0,0,0,0,0,1,7,10,18,33,43,56,72,81,110,123,142,164,190,213,241,270,298,329,362,409,461,512,562,615,657,711,787,845,910
NL,3,4,7,13,19,24,27,29,34,39,46,53,63,71,79,82,87,91,99,105,117,124,133,150,158,170,179,186,197,209,225,240,252,264,277,284,295,307,320
NO,2,2,2,2,2,3,3,6,6,8,8,9,11,11,13,16,16,16,17,20,20,20,22,24,24,25,25,26,26,30,34,36,37,39,40,43,44,46,48
SE,6,17,22,29,38,47,55,61,64,75,79,83,87,95,101,105,112,115,124,130,138,145,153,159,167,170,175,180,184,189,197,203,207,209,216,219,228,234,238
TW,0,0,0,0,0,0,0,1,3,3,7,8,8,9,14,21,25,34,43,65,78,101,120,135,168,204,232,263,306,335,368,401,435,468,502,540,579,611,646
US,568,1112,1672,2237,2809,3360,3880,4390,4863,5363,5857,6317,6806,7310,7807,8328,8850,9391,9892,10389,10901,11413,11928,12436,12950,13464,14000,14513,15030,15532,16047,16558,17061,17579,18088,18597,19085,19615,20105
